Car,Velocity(px),Angle(deg),Distances,Move Choice
Car 1,5,10,"[157, 34, 59]",0
Car 2,5,10,"[157, 34, 59]",0
Car 3,5,10,"[157, 34, 59]",0
Car 4,5,10,"[157, 34, 59]",0
Car 5,5,10,"[157, 34, 59]",0
Car 6,5,10,"[157, 34, 59]",0
Car 7,5,10,"[157, 34, 59]",0
Car 8,5,10,"[186, 50, 41]",1
Car 9,5,10,"[157, 34, 59]",0
Car 10,5,10,"[157, 34, 59]",0
Car 11,5,10,"[186, 50, 41]",1
Car 12,5,10,"[157, 34, 59]",0
Car 13,5,10,"[186, 50, 41]",1
Car 14,5,10,"[186, 50, 41]",1
Car 15,5,10,"[157, 34, 59]",0
Car 16,5,10,"[186, 50, 41]",1
Car 17,5,10,"[186, 50, 41]",1
Car 18,5,10,"[186, 50, 41]",1
Car 19,5,10,"[157, 34, 59]",0
Car 1,5,20,"[78, 30, 82]",0
Car 2,5,20,"[78, 30, 82]",0
Car 3,5,20,"[78, 30, 82]",0
Car 4,5,20,"[78, 30, 82]",0
Car 5,5,20,"[78, 30, 82]",0
Car 6,5,20,"[78, 30, 82]",0
Car 7,5,20,"[78, 30, 82]",0
Car 8,5,20,"[89, 72, 35]",1
Car 9,5,20,"[78, 30, 82]",0
Car 10,5,20,"[78, 30, 82]",0
Car 11,5,20,"[89, 72, 35]",1
Car 12,5,20,"[78, 30, 82]",0
Car 13,5,20,"[180, 52, 39]",2
Car 14,5,20,"[89, 72, 35]",1
Car 15,5,20,"[78, 30, 82]",0
Car 16,5,20,"[506, 41, 47]",0
Car 17,5,20,"[89, 72, 35]",1
Car 18,5,20,"[89, 72, 35]",1
Car 19,5,20,"[78, 30, 82]",0
Car 1,5,30,"[49, 26, 141]",0
Car 2,5,30,"[49, 26, 141]",0
Car 3,5,30,"[49, 26, 141]",0
Car 4,5,30,"[151, 33, 61]",1
Car 5,5,30,"[49, 26, 141]",0
Car 6,5,30,"[151, 33, 61]",1
Car 7,5,30,"[49, 26, 141]",0
Car 8,5,30,"[56, 129, 29]",1
Car 9,5,30,"[49, 26, 141]",0
Car 10,5,30,"[49, 26, 141]",0
Car 11,5,30,"[56, 129, 29]",1
Car 12,5,30,"[49, 26, 141]",0
Car 13,5,30,"[174, 54, 38]",2
Car 14,5,30,"[169, 56, 37]",0
Car 15,5,30,"[49, 26, 141]",0
Car 16,5,30,"[163, 36, 57]",0
Car 17,5,30,"[56, 129, 29]",1
Car 18,5,30,"[56, 129, 29]",1
Car 19,5,30,"[49, 26, 141]",0
Car 1,5,30,"[45, 24, 148]",2
Car 2,5,30,"[34, 23, 438]",0
Car 3,5,30,"[34, 23, 438]",0
Car 4,5,30,"[75, 29, 84]",0
Car 5,5,30,"[34, 23, 438]",0
Car 6,5,30,"[75, 29, 84]",0
Car 7,5,30,"[34, 23, 438]",0
Car 8,5,30,"[37, 517, 25]",1
Car 9,5,30,"[69, 27, 89]",1
Car 10,5,30,"[34, 23, 438]",0
Car 11,5,30,"[75, 84, 29]",0
Car 12,5,30,"[34, 23, 438]",0
Car 13,5,30,"[169, 56, 37]",2
Car 14,5,30,"[80, 80, 31]",1
Car 15,5,30,"[34, 23, 438]",0
Car 16,5,30,"[80, 31, 80]",0
Car 17,5,30,"[37, 517, 25]",1
Car 18,5,30,"[37, 517, 25]",1
Car 19,5,30,"[34, 23, 438]",0
Car 1,5,30,"[41, 22, 156]",2
Car 2,5,30,"[25, 20, 208]",0
Car 3,5,30,"[25, 20, 208]",0
Car 4,5,30,"[145, 32, 63]",1
Car 5,5,30,"[39, 21, 160]",1
Car 6,5,30,"[145, 32, 63]",1
Car 7,5,30,"[25, 20, 208]",0
Car 8,5,30,"[26, 220, 21]",1
Car 9,5,30,"[43, 23, 152]",0
Car 10,5,30,"[25, 20, 208]",0
Car 11,5,30,"[140, 64, 31]",0
Car 12,5,30,"[25, 20, 208]",0
Car 13,5,30,"[163, 57, 36]",2
Car 14,5,30,"[151, 61, 33]",0
Car 15,5,30,"[25, 20, 208]",0
Car 16,5,30,"[51, 27, 137]",0
Car 17,5,30,"[26, 220, 21]",1
Car 18,5,30,"[26, 220, 21]",1
Car 19,5,30,"[25, 20, 208]",0
Car 1,5,30,"[37, 20, 164]",2
Car 2,5,30,"[18, 16, 56]",0
Car 3,5,30,"[18, 16, 56]",0
Car 4,5,30,"[72, 28, 87]",0
Car 5,5,30,"[26, 18, 457]",0
Car 6,5,30,"[72, 28, 87]",0
Car 7,5,30,"[18, 16, 56]",0
Car 8,5,30,"[18, 56, 16]",1
Car 9,5,30,"[60, 24, 96]",1
Car 10,5,30,"[18, 16, 56]",0
Car 11,5,30,"[66, 91, 26]",1
Car 12,5,30,"[18, 16, 56]",0
Car 13,5,30,"[157, 59, 34]",2
Car 14,5,30,"[486, 50, 38]",0
Car 15,5,30,"[18, 16, 56]",0
Car 16,5,30,"[47, 25, 144]",2
Car 17,5,30,"[18, 56, 16]",1
Car 18,5,30,"[18, 56, 16]",1
Car 19,5,30,"[18, 16, 56]",0
Car 1,5,30,"[33, 18, 172]",2
Car 2,5,30,"[12, 13, 25]",0
Car 3,5,30,"[12, 13, 25]",0
Car 4,5,30,"[140, 31, 64]",1
Car 5,5,30,"[29, 16, 179]",1
Car 6,5,30,"[140, 31, 64]",1
Car 7,5,30,"[12, 13, 25]",0
Car 8,5,30,"[11, 23, 11]",1
Car 9,5,30,"[37, 20, 164]",0
Car 10,5,30,"[12, 13, 25]",0
Car 11,5,30,"[122, 69, 27]",0
Car 12,5,30,"[12, 13, 25]",0
Car 13,5,30,"[151, 61, 33]",2
Car 14,5,30,"[145, 63, 32]",1
Car 15,5,30,"[12, 13, 25]",0
Car 16,5,30,"[43, 23, 152]",2
Car 17,5,30,"[11, 23, 11]",1
Car 18,5,30,"[11, 23, 11]",1
Car 19,5,30,"[12, 13, 25]",0
Car 1,5,30,"[29, 16, 179]",2
Car 2,5,30,"[8, 9, 12]",0
Car 3,5,30,"[8, 9, 12]",0
Car 4,5,30,"[484, 35, 52]",1
Car 5,5,30,"[19, 13, 464]",0
Car 6,5,30,"[69, 27, 89]",0
Car 7,5,30,"[8, 9, 12]",0
Car 8,5,30,"[6, 8, 6]",1
Car 9,5,30,"[51, 20, 103]",1
Car 10,5,30,"[8, 9, 12]",0
Car 11,5,30,"[57, 99, 22]",1
Car 12,5,30,"[8, 9, 12]",0
Car 13,5,30,"[145, 63, 32]",2
Car 14,5,30,"[477, 51, 37]",0
Car 15,5,30,"[8, 9, 12]",0
Car 16,5,30,"[39, 21, 160]",2
Car 17,5,30,"[6, 8, 6]",1
Car 18,5,30,"[6, 8, 6]",1
Car 19,5,30,"[8, 9, 12]",0
Car 1,5,30,"[25, 14, 187]",2
Car 2,5,30,"[2, 3, 3]",0
Car 3,5,30,"[2, 3, 3]",0
Car 4,5,30,"[140, 31, 64]",0
Car 5,5,30,"[19, 11, 199]",1
Car 6,5,30,"[134, 30, 66]",1
Car 7,5,30,"[2, 3, 3]",0
Car 8,5,30,"[99, 22, 76]",1
Car 9,5,30,"[2, 3, 3]",0
Car 10,5,30,"[105, 75, 23]",0
Car 11,5,30,"[2, 3, 3]",0
Car 12,5,30,"[140, 64, 31]",2
Car 13,5,30,"[140, 64, 31]",1
Car 14,5,30,"[2, 3, 3]",0
Car 15,5,30,"[35, 19, 168]",2
Car 16,5,30,"[4, 4, 6]",1
Car 17,5,30,"[117, 71, 26]",0
Car 18,5,30,"[25, 14, 187]",2
Car 19,5,30,"[157, 34, 59]",0
Car 1,5,30,"[21, 12, 195]",2
Car 2,5,30,"[475, 35, 52]",1
Car 3,5,30,"[25, 10, 125]",1
Car 4,5,30,"[476, 34, 54]",1
Car 5,5,30,"[48, 19, 106]",0
Car 6,5,30,"[48, 106, 19]",1
Car 7,5,30,"[134, 66, 30]",2
Car 8,5,30,"[467, 52, 35]",0
Car 9,5,30,"[31, 17, 175]",2
Car 10,5,30,"[54, 101, 21]",1
Car 11,5,30,"[21, 12, 195]",2
Car 12,5,30,"[470, 40, 48]",1
Car 13,5,30,"[54, 21, 101]",0
Car 14,5,30,"[5, 486, 4]",1
Car 15,5,30,"[66, 26, 91]",0
Car 16,5,30,"[42, 17, 110]",0
Car 17,5,30,"[470, 40, 48]",1
Car 18,5,30,"[51, 20, 103]",2
Car 19,5,30,"[54, 101, 21]",1
Car 1,5,30,"[17, 10, 202]",2
Car 2,5,30,"[140, 31, 64]",0
Car 3,5,30,"[13, 8, 210]",0
Car 4,5,30,"[134, 30, 66]",0
Car 5,5,30,"[94, 21, 78]",1
Car 6,5,30,"[88, 80, 20]",0
Car 7,5,30,"[128, 68, 28]",2
Car 8,5,30,"[134, 66, 30]",1
Car 9,5,30,"[27, 15, 183]",2
Car 10,5,30,"[99, 76, 22]",0
Car 11,5,30,"[17, 10, 202]",2
Car 12,5,30,"[157, 34, 59]",0
Car 13,5,30,"[105, 23, 75]",1
Car 14,5,30,"[128, 28, 68]",1
Car 15,5,30,"[82, 19, 82]",1
Car 16,5,30,"[157, 34, 59]",0
Car 17,5,30,"[99, 22, 76]",1
Car 18,5,30,"[99, 76, 22]",0
Car 19,5,30,"[51, 20, 103]",2
Car 1,5,30,"[13, 8, 210]",2
Car 2,5,30,"[466, 35, 52]",1
Car 3,5,30,"[16, 7, 132]",1
Car 4,5,30,"[467, 34, 54]",1
Car 5,5,30,"[45, 18, 108]",0
Car 6,5,30,"[40, 113, 16]",1
Car 7,5,30,"[122, 69, 27]",2
Car 8,5,30,"[457, 54, 34]",0
Car 9,5,30,"[23, 13, 191]",2
Car 10,5,30,"[45, 108, 18]",1
Car 11,5,30,"[13, 8, 210]",2
Car 12,5,30,"[461, 40, 48]",1
Car 13,5,30,"[51, 20, 103]",0
Car 14,5,30,"[63, 25, 94]",0
Car 15,5,30,"[473, 21, 67]",1
Car 16,5,30,"[461, 40, 48]",1
Car 17,5,30,"[48, 19, 106]",0
Car 18,5,30,"[456, 62, 26]",0
Car 19,5,30,"[48, 19, 106]",2
Car 1,5,30,"[9, 6, 218]",2
Car 2,5,30,"[140, 31, 64]",0
Car 3,5,30,"[7, 5, 222]",0
Car 4,5,30,"[134, 30, 66]",0
Car 5,5,30,"[88, 20, 80]",1
Car 6,5,30,"[71, 85, 16]",0
Car 7,5,30,"[117, 71, 26]",2
Car 8,5,30,"[128, 68, 28]",1
Car 9,5,30,"[19, 11, 199]",2
Car 10,5,30,"[82, 82, 19]",0
Car 11,5,30,"[9, 6, 218]",2
Car 12,5,30,"[157, 34, 59]",0
Car 13,5,30,"[99, 22, 76]",1
Car 14,5,30,"[122, 27, 69]",1
Car 15,5,30,"[266, 28, 56]",1
Car 16,5,30,"[157, 34, 59]",0
Car 17,5,30,"[94, 21, 78]",1
Car 18,5,30,"[94, 78, 21]",1
Car 19,5,30,"[45, 18, 108]",2
Car 1,5,0,"[457, 35, 52]",1
Car 2,5,0,"[458, 34, 54]",1
Car 3,5,0,"[42, 17, 110]",0
Car 4,5,0,"[442, 69, 18]",0
Car 5,5,0,"[111, 73, 25]",2
Car 6,5,0,"[448, 55, 33]",0
Car 7,5,0,"[15, 9, 206]",2
Car 8,5,0,"[444, 67, 21]",0
Car 9,5,0,"[452, 40, 48]",1
Car 10,5,0,"[48, 19, 106]",0
Car 11,5,0,"[60, 24, 96]",0
Car 12,5,0,"[464, 23, 65]",0
Car 13,5,0,"[452, 40, 48]",1
Car 14,5,0,"[45, 18, 108]",0
Car 15,5,0,"[446, 64, 24]",0
Car 16,5,0,"[42, 17, 110]",2
Car 17,5,0,"[54, 21, 101]",0
Car 18,5,0,"[60, 24, 96]",0
Car 19,5,0,"[54, 21, 101]",0
Car 1,5,10,"[140, 31, 64]",0
Car 2,5,10,"[134, 30, 66]",0
Car 3,5,10,"[82, 19, 82]",1
Car 4,5,10,"[65, 87, 15]",1
Car 5,5,10,"[105, 75, 23]",2
Car 6,5,10,"[122, 69, 27]",1
Car 7,5,10,"[11, 7, 214]",2
Car 8,5,10,"[76, 83, 17]",1
Car 9,5,10,"[157, 34, 59]",0
Car 10,5,10,"[94, 21, 78]",1
Car 11,5,10,"[117, 26, 71]",1
Car 12,5,10,"[261, 29, 55]",1
Car 13,5,10,"[157, 34, 59]",0
Car 14,5,10,"[88, 20, 80]",1
Car 15,5,10,"[88, 80, 20]",1
Car 16,5,10,"[40, 16, 113]",2
Car 17,5,10,"[105, 23, 75]",1
Car 18,5,10,"[117, 26, 71]",1
Car 19,5,10,"[105, 23, 75]",1
Car 1,5,0,"[448, 35, 52]",1
Car 2,5,0,"[449, 34, 54]",1
Car 3,5,0,"[40, 16, 113]",0
Car 4,5,0,"[431, 71, 17]",0
Car 5,5,0,"[99, 76, 22]",2
Car 6,5,0,"[438, 57, 31]",0
Car 7,5,0,"[434, 68, 20]",0
Car 8,5,0,"[443, 40, 48]",1
Car 9,5,0,"[45, 18, 108]",0
